Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_76,"[3, 1, 6, 15]",1.0,1.0,1.0
combo_77,"[3, 4, 5, 17]",1.0,0.92,0.92
combo_78,"[3, 2, 5, 17]",0.98,0.9,0.96
combo_79,"[3, 8, 11, 19]",1.0,1.0,0.98
combo_80,"[3, 2, 6, 19]",1.0,0.94,0.96
combo_81,"[3, 4, 9, 14]",1.0,0.92,0.9
combo_82,"[3, 4, 11, 19]",1.0,1.0,1.0
combo_83,"[3, 2, 10, 15]",1.0,1.0,1.0
combo_84,"[3, 7, 10, 16]",1.0,1.0,1.0
combo_85,"[3, 1, 11, 16]",1.0,1.0,1.0
combo_86,"[3, 1, 5, 18]",1.0,0.96,0.88
combo_0,"[3, 4, 11, 17]",1.0,1.0,1.0
combo_1,"[3, 1, 9, 15]",1.0,1.0,0.98
combo_2,"[3, 2, 6, 16]",1.0,1.0,1.0
combo_3,"[3, 8, 6, 13]",0.94,0.88,0.86
combo_4,"[3, 1, 5, 18]",1.0,0.96,0.88
combo_5,"[3, 1, 9, 13]",1.0,0.94,0.96
combo_6,"[3, 1, 6, 16]",1.0,1.0,1.0
combo_7,"[3, 1, 10, 19]",1.0,1.0,1.0
combo_8,"[3, 1, 10, 14]",1.0,1.0,1.0
combo_9,"[3, 8, 5, 17]",0.94,0.86,0.78
combo_10,"[3, 4, 9, 17]",1.0,0.96,0.98
combo_11,"[3, 7, 10, 12]",1.0,1.0,1.0
combo_12,"[3, 7, 10, 13]",1.0,0.92,0.98
combo_13,"[3, 2, 11, 14]",1.0,1.0,1.0
combo_14,"[3, 2, 5, 13]",0.96,0.88,0.86
combo_15,"[3, 1, 11, 15]",1.0,1.0,1.0
combo_16,"[3, 4, 10, 15]",1.0,0.96,1.0
combo_17,"[3, 1, 5, 12]",1.0,1.0,0.96
combo_18,"[3, 4, 5, 18]",1.0,0.9,0.88
combo_19,"[3, 2, 10, 12]",1.0,1.0,0.98
combo_20,"[3, 1, 11, 16]",1.0,1.0,1.0
combo_21,"[3, 1, 11, 18]",1.0,1.0,1.0
combo_22,"[3, 7, 9, 16]",1.0,1.0,1.0
combo_23,"[3, 8, 5, 16]",1.0,0.92,0.88
combo_24,"[3, 8, 10, 15]",1.0,0.98,0.96
combo_25,"[3, 2, 9, 17]",1.0,0.96,0.94
combo_26,"[3, 7, 6, 16]",1.0,0.98,1.0
combo_27,"[3, 7, 5, 16]",1.0,1.0,0.92
combo_28,"[3, 4, 5, 14]",1.0,0.82,0.84
combo_29,"[3, 4, 6, 16]",1.0,1.0,1.0
combo_30,"[3, 4, 6, 18]",1.0,0.94,0.94
combo_31,"[3, 7, 10, 14]",0.98,0.92,0.9
combo_32,"[3, 2, 9, 15]",1.0,0.98,0.94
combo_33,"[3, 2, 6, 14]",0.98,0.94,0.94
combo_34,"[3, 1, 6, 19]",1.0,0.98,1.0
combo_35,"[3, 7, 6, 18]",1.0,0.92,0.9
combo_36,"[3, 7, 11, 13]",1.0,1.0,1.0
combo_37,"[3, 2, 10, 17]",1.0,0.98,0.98
combo_38,"[3, 2, 11, 17]",1.0,1.0,1.0
combo_39,"[3, 7, 5, 13]",0.98,0.9,0.84
combo_40,"[3, 8, 6, 18]",1.0,0.9,0.84
combo_41,"[3, 4, 6, 13]",1.0,0.94,0.9
combo_42,"[3, 8, 6, 12]",0.98,0.92,0.9
combo_43,"[3, 7, 9, 19]",1.0,0.96,0.94
combo_44,"[3, 2, 9, 12]",1.0,0.96,0.96
combo_45,"[3, 8, 11, 19]",1.0,1.0,1.0
combo_46,"[3, 1, 11, 14]",1.0,1.0,1.0
combo_47,"[3, 8, 6, 19]",1.0,0.92,0.88
combo_48,"[3, 7, 11, 19]",1.0,1.0,1.0
combo_49,"[3, 1, 10, 17]",1.0,1.0,1.0
combo_50,"[3, 4, 6, 12]",1.0,0.96,0.94
combo_51,"[3, 2, 10, 18]",1.0,0.96,0.98
combo_52,"[3, 2, 6, 18]",1.0,0.9,0.9
combo_53,"[3, 2, 5, 18]",1.0,0.94,0.84
combo_54,"[3, 4, 6, 14]",1.0,0.92,0.88
combo_55,"[3, 2, 11, 16]",1.0,1.0,1.0
combo_56,"[3, 2, 9, 14]",1.0,0.9,0.88
combo_57,"[3, 7, 5, 14]",0.98,0.92,0.84
combo_58,"[3, 2, 11, 19]",1.0,1.0,1.0
combo_59,"[3, 2, 5, 19]",1.0,0.9,0.9
combo_60,"[3, 2, 6, 19]",1.0,0.94,0.96
combo_61,"[3, 2, 10, 16]",1.0,1.0,1.0
combo_62,"[3, 8, 9, 12]",1.0,0.92,0.92
combo_63,"[3, 7, 5, 15]",1.0,0.94,0.9
combo_64,"[3, 7, 9, 15]",1.0,0.96,0.94
combo_65,"[3, 4, 9, 15]",1.0,0.96,0.96
combo_66,"[3, 2, 5, 16]",1.0,0.96,0.96
combo_67,"[3, 7, 5, 12]",1.0,0.94,0.88
combo_68,"[3, 4, 11, 15]",1.0,1.0,1.0
combo_69,"[3, 8, 10, 18]",1.0,0.96,0.92
combo_70,"[3, 2, 5, 12]",1.0,0.96,0.9
combo_71,"[3, 4, 11, 18]",1.0,1.0,1.0
combo_72,"[3, 8, 6, 14]",0.94,0.88,0.82
combo_73,"[3, 7, 11, 17]",1.0,1.0,1.0
combo_74,"[3, 4, 5, 12]",1.0,0.98,0.82
combo_75,"[3, 4, 9, 19]",1.0,1.0,0.96
combo_76,"[3, 1, 6, 18]",1.0,0.98,0.96
combo_77,"[3, 8, 9, 13]",0.92,0.86,0.86
combo_78,"[3, 7, 11, 15]",1.0,1.0,1.0
combo_79,"[3, 8, 10, 17]",1.0,0.94,0.96
combo_80,"[3, 1, 5, 17]",1.0,0.98,0.92
combo_81,"[3, 1, 6, 17]",1.0,1.0,1.0
combo_82,"[3, 4, 11, 16]",1.0,1.0,1.0
combo_83,"[3, 1, 10, 15]",1.0,1.0,1.0
combo_84,"[3, 2, 6, 12]",1.0,0.96,0.96
combo_85,"[3, 2, 11, 18]",1.0,1.0,1.0
combo_86,"[3, 7, 11, 12]",1.0,1.0,1.0
combo_87,"[3, 8, 5, 19]",0.96,0.86,0.86
combo_88,"[3, 1, 10, 13]",1.0,1.0,1.0
combo_89,"[3, 2, 11, 12]",1.0,1.0,1.0
combo_90,"[3, 2, 9, 13]",0.98,0.88,0.9
combo_91,"[3, 4, 10, 12]",1.0,1.0,0.98
combo_92,"[3, 1, 9, 16]",1.0,1.0,1.0
combo_93,"[3, 1, 9, 18]",1.0,0.98,0.96
combo_94,"[3, 7, 9, 18]",1.0,0.98,0.96
combo_95,"[3, 1, 5, 19]",1.0,0.96,0.98
combo_96,"[3, 4, 5, 15]",1.0,0.9,0.9
combo_97,"[3, 7, 6, 15]",1.0,0.94,0.94
combo_98,"[3, 8, 11, 13]",0.98,0.94,0.94
combo_99,"[3, 7, 5, 18]",1.0,0.9,0.84
